CityState,Year,MedianSoldPricePerSqft_AllHomes,MedianSoldPricePerSqft_SingleFamilyResidence,MedianSoldPrice_AllHomes,ZHVIPerSqft_AllHomes,ZHVI_AllHomes,ZHVI_SingleFamilyResidence,MedianRentalPricePerSqft_AllHomes,MedianRentalPricePerSqft_SingleFamilyResidence
"New York, NY",2008,518.2486833333334,312.58140000000003,555101.9166666666,370.5,500033.3333333333,495350.0,,
"New York, NY",2009,394.4269333333334,295.88821666666666,501678.9166666667,351.8333333333333,464575.0,455691.6666666667,,
"New York, NY",2010,403.2959,291.86145833333336,494134.99583333335,358.5,481950.0,453375.0,,
"New York, NY",2011,430.8060916666666,299.8110583333334,497981.75,342.5,468708.3333333333,436175.0,,
"New York, NY",2012,416.6576583333333,300.3809333333333,473469.1666666667,339.8333333333333,464525.0,428741.6666666667,,
"New York, NY",2013,432.40658333333334,298.51640833333335,513729.5833333333,351.0,482200.0,437216.6666666667,4.243790357689154,
"New York, NY",2014,443.5172166666666,311.7155083333333,496642.9166666667,373.25,516775.0,456766.6666666667,4.24450672917276,
"New York, NY",2015,429.37829166666666,324.5536333333334,509122.9166666667,392.0,541200.0,469525.0,4.3523660223644685,
"New York, NY",2016,477.02111428571425,360.1915857142857,535262.5,430.6666666666667,596091.6666666666,513933.3333333333,4.31839700768394,
"New York, NY",2017,,,,470.375,664512.5,558975.0,4.52123981996926,
"Philadelphia, PA",2007,114.82529999999998,134.03715,142291.66666666666,93.41666666666667,119416.66666666667,199133.33333333334,,
"Philadelphia, PA",2008,115.35303333333333,136.61351666666664,145354.16666666666,92.08333333333333,117625.0,195283.33333333334,,
"Philadelphia, PA",2009,110.992925,130.00798333333333,139572.91666666666,91.16666666666667,116916.66666666667,187850.0,,
"Philadelphia, PA",2010,107.83641666666665,127.09617500000002,134958.26249999998,93.91666666666667,120866.66666666667,184250.0,,
"Philadelphia, PA",2011,99.68916666666667,118.52815,125436.25,89.0,115325.0,175850.0,1.090720572495691,0.9329703327147225
"Philadelphia, PA",2012,98.64404166666667,115.38194166666666,126484.70833333333,86.0,111825.0,170383.33333333334,1.07719168740585,0.9875472413012275
"Philadelphia, PA",2013,113.56054999999999,120.48394166666667,148312.5,87.75,112933.33333333333,173508.33333333334,1.0959266561755392,0.9116898134517363
"Philadelphia, PA",2014,111.82485000000001,120.25918333333333,145945.41666666666,88.41666666666667,115166.66666666667,175966.66666666666,1.0955516268951708,0.8981432937000356
"Philadelphia, PA",2015,114.87319166666667,122.77855,150012.5,90.83333333333333,119350.0,176450.0,1.1743046593586068,0.9671415148390357
"Philadelphia, PA",2016,119.90136666666666,125.64651666666668,151430.0,97.5,128266.66666666667,185091.66666666666,1.1608304334890927,0.9655999407970425
"Philadelphia, PA",2017,,,,104.5,137287.5,197475.0,1.2238062038682473,1.0066727778596587
"Salt Lake City, UT",2007,,,,216.25,247741.66666666666,266258.3333333333,,
"Salt Lake City, UT",2008,,,,221.66666666666666,253233.33333333334,265833.3333333333,,
"Salt Lake City, UT",2009,,,,220.5,258766.66666666666,268908.3333333333,,
"Salt Lake City, UT",2010,,,,182.58333333333334,210991.66666666666,223350.0,,
"Salt Lake City, UT",2011,,,,168.25,193758.33333333334,204666.66666666666,1.06973904593865,1.0421965072906099
"Salt Lake City, UT",2012,,,,165.91666666666666,189533.33333333334,201216.66666666666,1.0236526525963732,0.9993359756185112
"Salt Lake City, UT",2013,,,,175.25,203166.66666666666,211950.0,1.0113641197835945,0.9638846648648413
"Salt Lake City, UT",2014,,,,189.08333333333334,220975.0,233083.33333333334,1.0603505638130344,0.9905935550262712
"Salt Lake City, UT",2015,,,,200.75,234783.33333333334,249616.66666666666,1.1141203981903267,1.0669821908698633
"Salt Lake City, UT",2016,,,,216.5,259916.66666666666,276500.0,1.1741756405669894,1.0950098338587568
"Salt Lake City, UT",2017,,,,232.625,281262.5,298587.5,1.2798963583246563,1.2182172595074623
"San Francisco, CA",2007,671.3373166666667,595.5357833333334,799062.5,639.75,810958.3333333334,823908.3333333334,,
"San Francisco, CA",2008,647.1366083333334,573.3543166666667,761270.8333333334,607.0833333333334,771183.3333333334,776333.3333333334,,
"San Francisco, CA",2009,581.9949,525.7943666666666,695227.0833333334,542.5833333333334,694775.0,703158.3333333334,,
